Tatung Otis Elevator Company,S1.5B-N,,BCC,,DC110V,400*4*10*16,无,安川L1000A,多8192,7米,5米
Tatung Otis Elevator Company,S1.5C-N,,BCW,,DC110V,400*4*10*16,无,安川L1000A,多8192,7米,5米
Tatung Otis Elevator Company,S1.5C-N,,BCC,,DC110V,400*4*10*16,无,安川L1000A,多8192,7米,5米
Tatung Otis Elevator Company,S1.5C-N,,BCC,,DC110V,400*4*10*16,无,安川L1000A,多8192,10米,5米
Tatung Otis Elevator Company,TA1.0E-N,,MC,,DC110V,400*5*10*16,无,安川L1000A,多8192,7米,
Tatung Otis Elevator Company,TA1.75CL-N,,MC,,DC110V,480*3*12*20.5-2G,有,安川L1000A,多8192,10米,
Tatung Otis Elevator Company,U1.0DS-H,,MM,,DC110V,480*4*12*20.5-2E,无,安川L1000A,海1321,7米,
Tatung Otis Elevator Company,U1.0FS-H,,MM,,DC110V,480*6*12*18,无,安川L1000A,海1321,7米,
Tatung Otis Elevator Company,U1.0FS-H,,MM,,DC110V,480*6*12*18,无,安川L1000A,海1321,10米,
Tatung Otis Elevator Company,U1.0FS-H,,MM,,DC110V,480*7*12*18,无,安川L1000A,海1321,10米,
Tatung Otis Elevator Company,U1.0FS-H,,MM,,DC110V,480*7*12*18,无,安川L1000A,海1321,7米,
Tatung Otis Elevator Company,U1.75DS-H,,MM,,DC110V,480*6*12*18,有,安川L1000A,海1321,7米,
Tatung Otis Elevator Company,U1.75ES-H,,MM,,DC110V,480*7*12*18,有,安川L1000A,海1321,7米,
Tatung Otis Elevator Company,U1.75FS-H,,MM,,DC110V,480*6*12*18,有,安川L1000A,海1321,7米,
ThyseenKrupp Elevator(India)Pvt.ltd,DZE-16E3B2A,,,,DC110V,,,,,,
ThyseenKrupp Elevator(India)Pvt.ltd,S2.0B-H,,BNN,,DC110V,400*4*10*16,有,富士,海1387,10米,
ThyseenKrupp Elevator(India)Pvt.ltd,S2.0D-H,,BNN,,DC110V,400*5*10*16,有,富士,海1387,10米,
